Barcode,Item,Type,Brand,Model,Colour,Connectivity,Strings,Left/right handed
,Amplifier,,Hughes & Kettner,TC 412 A60,Black,,,
,Amplifier,,Valvestate,2000,Black,,,
,Amplifier,,Randall,RG75,Black,,,
,Amplifier,,Orange,Crush 25BX,Orange,,,
,Amplifier,,Torque,T100-3,Black,,,
,Amplifier,,Torque,T100-3,Black,,,
,Amplifier,,Marshall,G30R CD,Black,,,
,Amplifier,,Ampeq,BA-115,Black,,,
,Amplifier,,Ampeq,BA-115,Black,,,
,Amplifier,,Orange,Crush 35LDX,Orange,,,
,Amplifier,,Orange,Crush 35LDX,Orange,,,
,Amplifier,,Marshall,MG30CFX,Black,,,
,Amplifier,,Marshall,MG30CFX,Black,,,
BCC00174,Speaker,,Behringer,Eurolive B210D,Black,,,
BCC00175,Speaker,,Behringer,Eurolive B210D,Black,,,
,Speaker,,Alto,TS312 X2,Black,,,
,Speaker,,Skytec,170 312,Black,,,
,Speaker,,Skytec,170 312,Black,,,
,Speaker,,Alto,TS2152 X2,Black,,,
,Boompole,Ultra-compact,RØDE,Micro Boompole,Black,,,
,Boompole,Ultra-compact,RØDE,Micro Boompole,Black,,,
,Boompole,Ultra-compact,RØDE,Micro Boompole,Black,,,
,Boompole,Ultra-compact,RØDE,Micro Boompole,Black,,,
,Monitor recorder,,Atomos,NINJA-2,Black,,,
,Processor,Effects,Alesis,Midiverb 4,Black,,,
BCC00134,Effects,,Fender,Champion 100,Black,,,
BCC00136,Effects,Overdrive/distortion,BOSS,OS-2,Yellow,,,
BCC00135,Effects,,Dunlop,GCB95F Cry baby,Black,,,
BCC00137,Effects,Reverb,TC Electronic,Skysurfer mini reverb pedal,Blue,,,
BCC00138,Effects,Delay,TC Electronic,Echobrain analogue delay,Brown,,,
,Interface,Audio,MOTU,8pre 16x12 Firewire,Black,,,
,Interface,Audio,MOTU,8pre 16x12 Firewire,Black,,,
BCC00132,Looper,Stereo,Digitech,JamMan Stereo Looper/Phrase sampler,Blue,,,
,Digital stagebox,,Behringer,S16,Grey,,,
BCC00121,Interface,MIDI,M-Audio,FastTrack Pro,Dark blue/grey,,,
BCC00131,Interface,MIDI,M-Audio,FastTrack Pro,Dark blue/grey,,,
BCC00139,Interface,Audio,M-Audio,M-Track Solo,Black,,,
BCC00140,Interface,Audio,M-Audio,M-Track Solo,Black,,,
BCC00141,Interface,Audio,M-Audio,M-Track Duo,Black,,,
BCC00142,Interface,Audio,M-Audio,M-Track Duo,Black,,,
BCC00120,Interface,Audio,Focusrite,Scarlett 2i2,Red,,,
,Interface,Direct injection,Behringer,Ultra-DI100,Grey,,,
,Interface,Direct injection,Behringer,Ultra-DI100,Grey,,,
BCC00145,Interface,Pad controller,AKAI Professional,MPD18 Compact pad controller,Black,,,
BCC00119,Cable tester,,Behringer,CT100,Grey,,,
BCC00127,Sound level meter,,Risepro,N/A,Orange,,,
BCC00124,Amplifier,Headphones,Behringer,MicroAMP HA400,Black,,,
,Amplifier,Headphones,Behringer,MicroAMP HA400,Black,,,
BCC00122,Cable tester,N/A,Soundlab,CT4,Black,,,
BCC00125,Amplifier,Headphones,Samson,C-Que 8,Black/blue,,,
,Amplifier,Headphones,Samson,C-Que 8,Black/blue,,,
,Controller,MIDI,Novation,Nocturn,Black,,,
,Controller,MIDI,Novation,Launchpad Pro Mini MK3,Black,,,
,Controller,MIDI,Novation,Launchpad,Black,,,
,Controller,MIDI,Novation,Launchpad,Black,,,
,Mixer,Digital,Behringer,x32,Grey,,,
,Mixer,Digital,RØDE,Caster Pro II,Black,,,
,Interface,DJ,Rane,Serato SL3,Black,,,
,Mixer,Compact,Mackie,Mix12FX,Black,,,
BCC00143,Mixer,Analog,Behringer,XENYX 1003B,Grey,,,
BCC00144,Mixer,Analog,Behringer,XENYX 1003B,Grey,,,
,Mixer,Amplifier,Carlsbro,Cobra 1100,Black,,,
,Mixer,Amplifier,Peavey,PVi 4B,Grey,,,
,Mixer,Amplifier,Peavey,PVi 4B,Grey,,,
BCC00032,Audio recorder,Portable,Zoom,H4n,Grey,,,
,Audio recorder,Portable,Zoom,H4n,Grey,,,
BCC00030,Audio recorder,Portable,Zoom,H4n Pro,Black,,,
BCC00031,Audio recorder,Portable,Zoom,H4n Pro,Black,,,
,Audio recorder,Portable,Zoom,H4n Pro,Black,,,
,Audio recorder,Portable,Zoom,H4n Pro,Black,,,
,Audio recorder,Portable,Zoom,H4n Pro,Black,,,
BCC00026,Audio recorder,Portable,Tascam,DR-40 PCM Recorder,Black,,,
BCC00027,Audio recorder,Portable,Tascam,DR-40 PCM Recorder,Black,,,
BCC00028,Audio recorder,Portable,Tascam,DR-40 PCM Recorder,Black,,,
BCC00096,DI box,Passive,Palmer,PAN 04,Black,,,
BCC00097,DI box,Active,Palmer,PAN 02,Black,,,
BCC00098,DI box,Active,Palmer,PAN 02,Black,,,
BCC00159,Camera,Digital,Nikon,D3000,Black,,,
BCC00160,Camera,Digital,Nikon,D3000,Black,,,
BCC00156,Camera,Digital,Nikon,D3100,Black,,,
BCC00158,Camera,Digital,Nikon,D3100,Black,,,
BCC00184,Camera,Digital,Nikon,D3100,Black,,,
BCC00157,Camera,Digital,Nikon,D3200,Black,,,
BCC00154,Camera,Digital,Nikon,D3200,Black,,,
BCC00183,Camera,Digital,Nikon,D3200,Black,,,
BCC00155,Camera,Digital,Nikon,D3400,Black,,,
BCC00153,Camera,Digital,Nikon,D3400,Black,,,
BCC00152,Camera,Digital,Nikon,D3400,Black,,,
BCC00161,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
,Camera,Digital,Canon,4000D,Black,,,
BCC00165,Camera,Digital,Canon,200D,Black,,,
BCC00162,Camera,Digital,Canon,200D,Black,,,
BCC00163,Camera,Digital,Canon,200D,Black,,,
BCC00172,Camera,Digital,Canon,5D MK111,Black,,,
BCC00170,Camera,Digital,Canon,5D MK111,Black,,,
BCC00014,Camera,Digital,Canon,C100 MK11,Black,,,
BCC00016,Camera,Digital,Canon,C100 MK11,Black,,,
BCC00167,Camera,Digital,Canon,80D,Black,,,
BCC00164,Camera,Digital,Canon,80D,Black,,,
BCC00169,Camera,Digital,Canon,80D,Black,,,
BCC00166,Camera,Digital,Canon,80D,Black,,,
BCC00168,Camera,Digital,Canon,80D,Black,,,
BCC00151,Camera,Slimline,AGFA Photo,APDV-1019,Black,,,
BCC00149,Lighting,,Aputure,MC 4-Light travel kit,Black,,,
BCC00148,Image transmitter,,DJI,Ronin RS2,Black,,,
BCC00150,Stablizer,,DJI,Osmo Mobile 6,Grey,,,
BCC00190,Stablizer,,DJI,Osmo Mobile 6,Grey,,,
BCC00195,Accessory,Monitor,Aputure,V-Screen VS-2 FineHD,Black,,,
BCC00033,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
BCC00034,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
BCC00035,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
BCC00036,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
,Accessory,Microphone,RØDE,Auxiliary VideoMic GO,Black/red,,,
